product,version,build,note,filename,sha1,sha256,url
macOS Sierra,10.12.4,16E195,,/Applications/Install macOS Sierra.app/Contents/SharedSupport/InstallESD.dmg,30b9245f7c7608c40bbdf4d4a74f3ab84dbac716,30319aeae18c3277919c59fe678201553f5a11022d6966b67a43422996391181,
macOS Sierra,10.12.3,16D32,,/Applications/Install macOS Sierra.app/Contents/SharedSupport/InstallESD.dmg,77d354ec06df0d0acc37c105ae524ba96948142b,75a288fe6efc0591f757baf08305270f1b843b54cfb66fe6b257049400a0d6e9,
macOS Sierra,10.12.2,16C68,,/Applications/Install macOS Sierra.app/Contents/SharedSupport/InstallESD.dmg,94f9e8f7ae2540dee6fe3465f60fc037e2547d16,6e8ccda1849bb49b1acf75f455019fe327adb47c676dbff018ea811c2456dcce,
macOS Sierra,10.12.2,16C67,,/Applications/Install macOS Sierra.app/Contents/SharedSupport/InstallESD.dmg,1432e3be6222c434b536721076ed8b16b1c6050e,6c2b16f248407a3853a9c4a63efadc94813321708f5eed5c09b73f33e5edd855,
macOS Sierra,10.12.1,16B2659,,/Applications/Install macOS Sierra.app/Contents/SharedSupport/InstallESD.dmg,f7f147c54627c2a9beb1fa318394e1579b30b167,8efa85e12bcc6c2145cce68b6ecaf9ce23e11f58c1452982b1907fe0f9f76fd1,
OS X El Capitan,10.12.1,16B2657,,/Applications/Install OS X El Capitan.app/Contents/SharedSupport/InstallESD.dmg,e559e142a4c9ebaaa740c575d5c3c23c6eb3fb06,8608c0cebf689431ad35d37bcb0035aac266c78f95e7e2a3fd8104d153a24e9b,
OS X El Capitan,10.12,16A323,,/Applications/Install OS X El Capitan.app/Contents/SharedSupport/InstallESD.dmg,139ef35e4af0da8286b2a3af326cb114d774f606,78a2701bb63a0dcb30862314d1a4598522cfe6a2dd2b096a4e30f256909a4446,
OS X El Capitan,10.12GM,16A322,Non-final GM,/Applications/Install OS X El Capitan.app/Contents/SharedSupport/InstallESD.dmg,3e58d8fcff9f941f28fc7ab47b51c5651c2dfd6d,,
OS X El Capitan,10.12GM,16A320,Non-final GM,/Applications/Install OS X El Capitan.app/Contents/SharedSupport/InstallESD.dmg,f38a32b512f70ce72fa054f86991ca057ef37f78,,
OS X El Capitan,10.12dp2,16A239m,,/Applications/Install OS X El Capitan.app/Contents/SharedSupport/InstallESD.dmg,2df533dbb6b5af5d8cc8b352de5c2d4c81ce4cf2,,
