product,version,build,sha1,sha256,filename,note,url
MacOS Sierra,10.12.4,16E195,30b9245f7c7608c40bbdf4d4a74f3ab84dbac716,30319aeae18c3277919c59fe678201553f5a11022d6966b67a43422996391181,InstallESD.dmg,,
MacOS Sierra,10.12.3,16D32,77d354ec06df0d0acc37c105ae524ba96948142b,,InstallESD.dmg,,
MacOS Sierra,10.12.2,16C68,94f9e8f7ae2540dee6fe3465f60fc037e2547d16,,InstallESD.dmg,,
MacOS Sierra,10.12.2,16C67,1432e3be6222c434b536721076ed8b16b1c6050e,,InstallESD.dmg,,
MacOS Sierra,10.12.1,16B2659,f7f147c54627c2a9beb1fa318394e1579b30b167,,InstallESD.dmg,,
Mac OS X El Capitan,10.12.1,16B2657,e559e142a4c9ebaaa740c575d5c3c23c6eb3fb06,,InstallESD.dmg,,
Mac OS X El Capitan,10.12.0,16A323,139ef35e4af0da8286b2a3af326cb114d774f606,,InstallESD.dmg,,
Mac OS X El Capitan,10.12GM,16A322,3e58d8fcff9f941f28fc7ab47b51c5651c2dfd6d,,InstallESD.dmg,Non-final GM,
Mac OS X El Capitan,10.12GM,16A320,f38a32b512f70ce72fa054f86991ca057ef37f78,,InstallESD.dmg,Non-final GM,
Mac OS X El Capitan,10.12dp2,16A239m,2df533dbb6b5af5d8cc8b352de5c2d4c81ce4cf2,,InstallESD.dmg,,
Mac OS X El Capitan,10.12dp1,16A201w,6b1368c4be9f043203efb2e6dd7b73541e016dbf,,InstallESD.dmg,,
Mac OS X El Capitan,10.11.6,15G1010,c3cdf53048a9a99a1d1355ccef09179a0b6a3dee,,InstallESD.dmg,,
Mac OS X El Capitan,10.11.6,15G31,7739e3f62080000da5d28efa689c53976112a262,,InstallESD.dmg,,
Mac OS X El Capitan,10.11.5,15F34,850781fe8cb5d88c5d1bc23e704e6686ff1fcc2f,,InstallESD.dmg,,
Mac OS X El Capitan,10.11.4,,f6292573395b46e8110be6077fd4827409bc948b,,InstallESD.dmg,,
Mac OS X El Capitan,10.11.3,,e4311d93127d0668372b32e5342f3b455b6bc9bd,,InstallESD.dmg,,
Mac OS X El Capitan,10.11.2,,2b11b8b618a2e5100507c3c432363081db65c4c8,,InstallESD.dmg,,
Mac OS X El Capitan,10.11.1,,306a080c07e293b6765ba950bab213572704acec,,InstallESD.dmg,,
Mac OS X El Capitan,10.11.0,,5e21097f2e98417ecc12574a7bb46a402594ea4a,,InstallESD.dmg,,
Mac OS X Yosemite,10.10.5,,ef5cc8851b893dbe4bc9a5cf5c648c10450af6bc,,InstallESD.dmg,,
Mac OS X Yosemite,10.10.4,,a8da3a4f4499c68559a2bad4ce232f2443a333ca,,InstallESD.dmg,,
Mac OS X Yosemite,10.10.3,,dc4d4d0a7cd4aea4514025d23a58d05107369fa9,,InstallESD.dmg,,
Mac OS X Yosemite,10.10.3,,4b93ff2cef88220a116fbce7c5707c9c57442bd0,,InstallESD.dmg,,
Mac OS X Yosemite,10.10.2,,059f2603a91465bcee24c864d446da30df920f85,,InstallESD.dmg,,
Mac OS X Yosemite,10.10.1,,a673c2c6d967f4da2934b7d6cf3736936970b194,,InstallESD.dmg,,
Mac OS X Yosemite,10.10.0,,eebf02a20ac27665a966957eec6f5e6fe3228a19,,InstallESD.dmg,,
Mac OS X Mavericks,10.9.5,,4a0a01806be8676cb39fb0ab5d049a198d255538,,InstallESD.dmg,,
Mac OS X Mavericks,10.9.0,,e804dea01e38f8cd28d6c1b1697487e50898dbe7,,InstallESD.dmg,,
Mac OS X Mountain Lion,10.8.5,12F45,bd1997666f9786af584bfa0dc1a64d95ab4b42e6,,InstallESD.dmg,,
Mac OS X Mountain Lion,10.8.5,,7bc54f504aa0b769a2d0b8546393a6e0fc24671f,,InstallESD.dmg,,
Mac OS X Mountain Lion,10.8.3,12D78,945b234b8cae169983d5e70ea9116ca42fe5f82b,5ae190da50130379f549257569560341d687628986bac02ec4dbd63bc180c76f,InstallESD.dmg,,
Mac OS X Mountain Lion,10.8.2,,eaf54b1b1a630af85547fed8eabbf6fe159f2b42,,InstallESD.dmg,,
Mac OS X Mountain Lion,10.8.0,12A269,e5dd2bf5560033cade7dd7d7da5ceec49f701b0e,49239a1556d978dec4ed16c8a8c4669c862b6db2cef19f59ecedd24819508822,InstallESD.dmg,,
Mac OS X Lion,10.7.5,,a044fc01fa75b1f255dbdd6ea4fefa30cef147b0,,InstallESD.dmg,,
Mac OS X Lion,10.7.2,11C74,0c2c88d078b013adef1acee7824a009c69b4d4f0,af1b07b354bbfb6031e6c972446b3a303df774bc4cfd612c3e1bda3621c58e6b,InstallESD.dmg,,
Mac OS X Snow Leopard,10.6.0,10A432,f8fa177e4be9a69f87be23b83c30e0c8eedacf5b,,Mac OS X Install DVD.dmg,,
Mac OS X Leopard,10.5.0,9A581,67ab755a3604cd767787fed56150bdb566358f69,,Mac OS X Install DVD.dmg,,
